id,name
1,"Dynamic_programming"
2,"Substring"
3,"Dynamic_programming_in_substring"
4,"Trie"
5,"Dynamic_programming_knapsack"
6,"DFS"
7,"BFS"
8,"String_with_WordDict"
9,"Graph"
10,"Palindrome"
11,"Dichotomy"
12,"Binary_Tree"
13,"Linked_List"
14,"MobiusBand"
15,"Double_Pointers"
16,"Backtracking"
17,"Binary_Tree"
18,"Binary_Search_Tree"
19,"Sort"
20,"Quick_Sort"
21,"Priority_Queue"
22,"Balanced_Binary_Tree"
23,"Math"
24,"Bit_Manipulation"
25,"Finite_State_Automaton"
26,"Boyer_Moore_Majority_Vote_Algorithm"
27,"Iterative_Method"
28,"Math"
29,"Greedy"
30,"Sliding_Window"
31,"Josephus_Problem"
32,"Monotonic_Queue"
33,"Deque"
34,"Matrix"
35,"Stack"